"id_plot","yr_measured","lat","lon","ers","drainage","disturbance","cover_type","soil","age_stand","annual_pp","annual_mean_temp","annual_min_temp","annual_max_temp"
7200700601,2007,-77.882876,49.200029,NA,40,NA,"R","4GA","30",827,1.14,-4.64,6.91
7202100701,1992,-76.44805,50.749909,NA,40,NA,"R","4GA","120",913,-2.43,-8.15,3.29
7208801701,2003,-78.360891,46.980234,NA,20,NA,"M","1AY","10",985,2.83,-2.72,8.38
7209100501,1997,-78.950263,46.534062,0.0890994946466235,30,NA,"M","1AY","VIN",888,3.3,-2.6,9.2
7209200902,2003,-79.153127,46.94734,NA,30,NA,"F","1A","30",991,2.98,-2.46,8.41
7209401801,1993,-76.164014,46.93275,NA,20,NA,"M","2BE","50",1063,2.15,-3.86,8.16
7209404501,2003,-76.571163,47.077737,NA,40,NA,"R","1AY","120",1065,2.09,-3.77,7.96
7209900502,2003,-77.652379,46.536661,NA,30,NA,"F","1A","10",1016,3.05,-2.53,8.64
7309602402,2010,0,0,NA,30,NA,"F","1AM","10",1002,3.32,-1.87,8.51
7409703502,2010,-73.33619,48.552786,NA,20,NA,"R","1AM","120",1001,2.83,-2.41,8.08
7509500902,2003,-76.738202,47.790387,NA,30,NA,"R","2A","70",992,1.45,-4.48,7.38
7601301101,2007,-70.833083,48.449991,NA,30,NA,"F","1AY","VIN",1008,2.42,-2.69,7.53
7601801901,2008,-73.948784,45.883036,0.122360321468342,30,NA,"F","1A","30",1277,5.29,-0.02,10.6
7601806602,1997,-73.479213,46.313105,0.0435699631144734,20,NA,"M","1A","3030",953,3.03,-2.77,8.83
7601807002,1997,-73.062235,46.436005,NA,30,NA,"M","1AY","10",897,3.35,-2.39,9.1
7601903201,2003,-71.817229,46.966053,0.00107521008569111,20,NA,"F","1AY","VIN",1430,3.18,-2.02,8.39
7607900101,1997,-72.750702,46.750984,NA,40,NA,"M","1AM","VIN",910,3.21,-2.62,9.05
7607902102,2003,-72.311077,47.01349,0.0025863161520678,30,NA,"F","1AM","10",1259,2.7,-2.84,8.23
7608201501,1998,-69.799316,49.633161,NA,20,NA,"R","1AM","120",1118,1.37,-3.51,6.24
7608900101,2003,-75.266855,45.733258,0.428074200376309,20,NA,"M","1AM","VIN",1158,4.09,-1.37,9.55
7609300502,2003,-71.646609,47.236375,NA,40,NA,"M","2BE","JIN",1405,0.64,-4.36,5.65
7609509201,2003,-71.910936,47.515539,NA,30,NA,"M","1AY","JIN",1281,0.92,-4.25,6.1
7701100802,2001,-62.403729,51.567268,NA,30,NA,"R","1A","120",1031,0.05,-4.5,4.61
9003400202,1999,-74.30175,50.763177,NA,30,NA,"R","1AY","70120",1000,0.68,-4.85,6.22
9003403802,1999,-73.861156,51.654697,NA,30,NA,"R","2BE","70",958,0.11,-5.25,5.47
9003503401,1999,-72.65593,51.77583,NA,30,NA,"R","1A","120",1039,-1.38,-6.55,3.79
9009101401,1997,-73.222766,47.142743,NA,20,NA,"R","2A","70",986,1.55,-4.56,7.67
9203000302,1992,-68.711878,47.387138,NA,20,NA,"F","1A","50",1047,2.74,-2.64,8.13
9203710502,2003,-70.288716,48.297362,NA,30,NA,"M","1AM","30",1024,1.76,-3.23,6.74
9500801601,1995,-70.970198,48.416236,NA,30,NA,"M","5A","30",898,2.87,-2.78,8.51
9500804702,2007,-72.445038,48.803722,NA,33,NA,"R","4GA","70",802,2.24,-3.55,8.03
9509701801,1995,-71.104515,47.334091,NA,31,NA,"R","1A","10",1535,0.26,-4.89,5.41
9509702201,2000,-71.111319,47.294105,NA,31,NA,"R","1AY","50",1363,0.87,-3.93,5.66
9509802001,2006,-64.349487,48.909323,0.623640699256763,20,NA,"F","8A","JIN",1134,4.22,0.05,8.4
9700700101,2005,-65.198949,48.083261,NA,30,NA,"M","1A","JIN",1106,4.7,0.35,9.05
9701000102,1997,-73.905161,45.584535,0.0402068881788056,30,NA,"F","5A","JIN",976,5.34,0.16,10.53
9801702801,1998,-70.266148,46.266505,NA,30,NA,"R","1A","30",1095,4.5,-0.75,9.76
9801703001,2010,-70.683295,46.266003,NA,30,NA,"R","1A","30",1136,5.59,0.72,10.46
9909900601,1999,-71.183329,47.257275,NA,30,NA,"R","1AY","10",1538,1.75,-3.44,6.94
7000401901,2008,-71.498326,45.300802,0.709247528270759,20,NA,"F","1AM","JIN",1391,4.92,-0.38,10.22
7000403202,1997,-70.882781,45.432737,1.1739189268669,30,NA,"F","1A","90",1073,3.16,-2.42,8.74
7000404801,1997,-70.753085,45.581662,0.259490840797536,20,NA,"F","1AM","JIN",1086,2.82,-2.73,8.37
7000600202,1993,-70.119682,46.463661,NA,30,NA,"R","1A","10",1228,2.52,-3.1,8.15
7000602702,1993,-71.053295,46.763823,NA,40,NA,"F","5S","JIN",1320,3.73,-1.34,8.79
7000700701,1994,-71.950175,46.099569,0.0514718540364152,21,NA,"F","5S","50",1148,4.49,-0.63,9.61
7100400502,2010,-72.886673,49.945617,NA,30,NA,"R","1A","10",934,2.6,-2.54,7.74
7100603502,2003,-71.0196,47.296743,NA,20,NA,"M","1AY","30",1381,0.54,-4.42,5.49
7100802502,1994,-76.394188,45.701983,0.137048052522038,20,NA,"M","1AY","50",896,4.13,-1.73,9.98
7100802802,2003,-76.112612,45.713163,NA,20,NA,"F","R1A","JIN",1085,4.37,-1.23,9.97
7100804801,2003,-76.966194,45.849629,NA,30,NA,"F","3AN","50",965,4.92,-0.78,10.62
7101003901,1999,-73.716629,51.26666,NA,30,NA,"R","2A","30",978,0.31,-5.13,5.76
7108600102,1992,-72.930302,49.386586,NA,20,NA,"M","1A","30",1023,-1.38,-7.31,4.55
